"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_data_resampled","tpr","fpr"
1,-1.87620730498177,2.20161704478486,-0.128569192463188,"Converged",FALSE,0.99,0.01
2,-1.80430154178398,2.00902600727085,-0.130386795341795,"Converged",FALSE,0.99,0.01
3,-1.97286099769613,1.60990371415493,-0.051801856588361,"Converged",FALSE,0.99,0.01
4,-1.81552249861324,1.61757850904768,-0.0983072630149007,"Converged",FALSE,0.99,0.01
5,-1.9107675038868,1.7840284279569,-0.114658878936156,"Converged",FALSE,0.99,0.01
6,-2.06875800984732,2.20367277952684,-0.0870764449348285,"Converged",FALSE,0.99,0.01
7,-2.44358928596018,3.40697914534083,-0.125162974916756,"Converged",FALSE,0.99,0.01
8,-1.99006483350223,1.15936102712785,-0.0676717086354878,"Converged",TRUE,0.99,0.01
9,-1.97506723458882,2.36869272687373,-0.146641667281473,"Converged",FALSE,0.99,0.01
10,-1.77724277918949,1.94345171583443,-0.130786124643643,"Converged",FALSE,0.99,0.01
11,-1.8371575586862,0.820036214122861,-0.0871078959210711,"Converged",FALSE,0.99,0.01
12,-2.27351675346956,3.28755934431999,-0.163931634536473,"Converged",FALSE,0.99,0.01
13,-1.89749305924135,1.62650232776827,-0.0850493319992851,"Converged",FALSE,0.99,0.01
14,-2.31505679071271,2.74457990559613,-0.078267305513903,"Converged",FALSE,0.99,0.01
15,-2.48938876025769,3.27229725230776,-0.0683076826591054,"Converged",FALSE,0.99,0.01
16,-1.92981206630717,2.49374498720192,-0.134498477636274,"Converged",FALSE,0.99,0.01
17,-1.90018791085515,1.44103719904822,-0.0686696859051167,"Converged",FALSE,0.99,0.01
18,-1.13998595632786,0.16622201376225,-0.134576534554729,"Converged",FALSE,0.99,0.01
19,-2.24570637460337,2.8585169287447,-0.0880288568977793,"Converged",FALSE,0.99,0.01
20,-2.09939948891063,2.42262308966915,-0.058415497391517,"Converged",FALSE,0.99,0.01
21,-1.88687344586604,1.28261182607849,-0.0690498258216666,"Converged",FALSE,0.99,0.01
22,-1.89241730787548,2.17527794557705,-0.115944110582929,"Converged",FALSE,0.99,0.01
23,-2.24261595699355,2.99943294419195,-0.100199916677409,"Converged",FALSE,0.99,0.01
24,-2.27660905730252,2.13045691095045,-0.0387799194084677,"Converged",FALSE,0.99,0.01
25,-1.97653380645285,1.34903905855431,-0.0856541082636788,"Converged",FALSE,0.99,0.01
26,-1.85854501577527,1.52063506777934,-0.0813898985275444,"Converged",FALSE,0.99,0.01
27,-1.63662269382836,1.10276070256729,-0.132715539799573,"Converged",FALSE,0.99,0.01
28,-1.65323815806873,0.450268657804489,-0.0440688333043415,"Converged",FALSE,0.99,0.01
29,-2.24279318890432,2.36549388944454,-0.0454531615380395,"Converged",FALSE,0.99,0.01
30,-2.25133026293741,2.04225613822122,-0.0612063308793895,"Converged",FALSE,0.99,0.01
31,-2.71741446010489,3.80409648362485,-0.0771717300949274,"Converged",FALSE,0.99,0.01
32,-2.39427781065029,2.81073978220334,-0.107219620058195,"Converged",FALSE,0.99,0.01
33,-1.24359622522171,-0.720867347674622,-0.069776141788926,"Converged",FALSE,0.99,0.01
34,-1.43619739839949,0.608401005066391,-0.10915475028238,"Converged",FALSE,0.99,0.01
35,-2.06612203571416,1.90254095056948,-0.0663444338363943,"Converged",FALSE,0.99,0.01
36,-1.85519946177585,0.600758727564011,-0.0409426800629773,"Converged",FALSE,0.99,0.01
37,-2.15808563835419,2.46481637805244,-0.0718636428342526,"Converged",FALSE,0.99,0.01
38,-2.07734569410514,2.69715983452761,-0.1188785503032,"Converged",TRUE,0.99,0.01
39,-1.96555521021871,2.9377831001739,-0.199141938525468,"Converged",FALSE,0.99,0.01
40,-1.735728345074,0.711779106644366,-0.0485710967444873,"Converged",FALSE,0.99,0.01
41,-1.31555862591897,0.440358364552547,-0.160107010619404,"Converged",FALSE,0.99,0.01
42,-2.24560891228187,3.25588193710212,-0.125664937215802,"Converged",FALSE,0.99,0.01
43,-1.75225925812545,0.82462448619687,-0.0718074739852737,"Converged",FALSE,0.99,0.01
44,-2.07546778679525,2.67518105903981,-0.132965625657979,"Converged",FALSE,0.99,0.01
45,-1.60086808198515,1.68718837530545,-0.199125103971881,"Converged",FALSE,0.99,0.01
46,-1.98084350231857,1.98232227997504,-0.0773920671446165,"Converged",FALSE,0.99,0.01
47,-1.92164883557581,1.31912834267964,-0.100075088071246,"Converged",FALSE,0.99,0.01
48,-1.7665476955785,1.52609653191516,-0.10979006124277,"Converged",FALSE,0.99,0.01
49,-1.80497778984146,1.25833190277044,-0.0842815395891191,"Converged",FALSE,0.99,0.01
50,-1.97073627781729,2.42751323859119,-0.168646155495998,"Converged",FALSE,0.99,0.01
51,-1.77914444474277,2.06531228165852,-0.137411439164621,"Converged",FALSE,0.99,0.01
52,-2.15340104712778,1.25147903520462,0.00129726689711618,"Converged",FALSE,0.99,0.01
53,-1.4648185855095,0.85942217789459,-0.126208946756028,"Converged",FALSE,0.99,0.01
54,-1.58296659616197,1.58351042419585,-0.160992142095217,"Converged",FALSE,0.99,0.01
55,-1.68233807516404,2.03674257243941,-0.168191654512995,"Converged",FALSE,0.99,0.01
56,-2.49598843881564,3.29154580859374,-0.063345813685012,"Converged",TRUE,0.99,0.01
57,-2.05068859892191,2.53545373990108,-0.166087696849888,"Converged",FALSE,0.99,0.01
58,-1.85647305972589,1.00911203373344,-0.0414119138916721,"Converged",FALSE,0.99,0.01
59,-1.3468279380439,0.409378199089548,-0.13973444727139,"Converged",TRUE,0.99,0.01
60,-2.0101899713917,1.11693371991691,-0.0496329950694424,"Converged",FALSE,0.99,0.01
61,-2.38619052379453,3.2007000865414,-0.0726636658481541,"Converged",FALSE,0.99,0.01
62,-1.35963719876607,0.136486079336969,-0.0940533880448776,"Converged",FALSE,0.99,0.01
63,-2.23265956417595,2.38595977591552,-0.0790506845368374,"Converged",FALSE,0.99,0.01
64,-1.753876169454,1.32288097667412,-0.0686863615404866,"Converged",FALSE,0.99,0.01
65,-1.82276487302529,1.00398770618341,-0.0933099149828686,"Converged",FALSE,0.99,0.01
66,-2.2015867001424,2.8878442324331,-0.0937355759451901,"Converged",FALSE,0.99,0.01
67,-1.86030693176867,1.82538371523478,-0.135843921766298,"Converged",FALSE,0.99,0.01
68,-1.47325648554977,0.302123099294867,-0.102380834471995,"Converged",FALSE,0.99,0.01
69,-2.36631273129173,2.77380541913209,-0.089964994518132,"Converged",FALSE,0.99,0.01
70,-2.55510145276612,4.20822959572447,-0.139987824901532,"Converged",FALSE,0.99,0.01
71,-2.01762238789389,2.95442552831451,-0.134575737553745,"Converged",FALSE,0.99,0.01
72,-1.4058949896553,0.524261804133543,-0.117671016897357,"Converged",FALSE,0.99,0.01
73,-2.80262494916262,2.95326838754431,0.00510119252945036,"Converged",FALSE,0.99,0.01
74,-1.54611916805185,0.278459141889124,-0.0571311970035906,"Converged",FALSE,0.99,0.01
75,-2.51652319090617,2.94380103747284,-0.0559268126993469,"Converged",FALSE,0.99,0.01
76,-1.53119589207491,1.99389540667155,-0.181338618271007,"Converged",TRUE,0.99,0.01
77,-1.68640669575545,1.59613619538471,-0.115289257414764,"Converged",FALSE,0.99,0.01
78,-2.68053756378969,2.9877191338763,-0.00963900956023881,"Converged",FALSE,0.99,0.01
79,-2.45591467389491,2.52441044394123,-0.0417439162647892,"Converged",FALSE,0.99,0.01
80,-1.59461760209918,0.714832753472985,-0.0755985055018255,"Converged",FALSE,0.99,0.01
81,-2.30094735566372,2.82065751992847,-0.080110436553567,"Converged",FALSE,0.99,0.01
82,-1.83627002708503,1.97644104535023,-0.131496919664541,"Converged",FALSE,0.99,0.01
83,-1.7124885231013,1.20919755032791,-0.13361204492064,"Converged",FALSE,0.99,0.01
84,-1.75434849877406,1.50839902311751,-0.0973876816190488,"Converged",FALSE,0.99,0.01
85,-1.49205057995196,1.77409140542636,-0.201386737828485,"Converged",FALSE,0.99,0.01
86,-1.81158702123598,1.92444261177564,-0.111232660849114,"Converged",FALSE,0.99,0.01
87,-2.43327143382685,3.13728748021267,-0.0745874957834964,"Converged",FALSE,0.99,0.01
88,-1.79114678943935,1.54623590734428,-0.10125931349719,"Converged",FALSE,0.99,0.01
89,-1.51861338866824,0.740389727251397,-0.132559572783055,"Converged",FALSE,0.99,0.01
90,-2.10141634119642,2.70245763700162,-0.0929149795725687,"Converged",FALSE,0.99,0.01
91,-2.31496951103811,3.00112927745799,-0.0680717069336188,"Converged",FALSE,0.99,0.01
92,-2.14543528345228,2.54266212987255,-0.129924161617561,"Converged",FALSE,0.99,0.01
93,-2.90459188743065,4.64209321841109,-0.135755355345736,"Converged",FALSE,0.99,0.01
94,-1.44319964109913,0.691821366242323,-0.135583244534232,"Converged",FALSE,0.99,0.01
95,-1.90438688171657,1.97465106765002,-0.102365518129247,"Converged",FALSE,0.99,0.01
96,-1.95239887289627,1.74961675050861,-0.0819742628081162,"Converged",FALSE,0.99,0.01
97,-1.06279942869762,0.437770306832655,-0.170229762901891,"Converged",FALSE,0.99,0.01
98,-2.10989738070879,3.09303266960281,-0.122831850350255,"Converged",FALSE,0.99,0.01
99,-1.67675800746331,1.86708137291016,-0.152214971996691,"Converged",FALSE,0.99,0.01
100,-2.11185797445958,2.32791311076485,-0.116591581468448,"Converged",FALSE,0.99,0.01
101,-2.17929865627714,3.04564776315455,-0.111805727346579,"Converged",FALSE,0.99,0.01
102,-1.76275114585541,2.03174150526414,-0.163994648426982,"Converged",FALSE,0.99,0.01
103,-1.45607694208148,-0.383238490729152,-0.0475129056570324,"Converged",FALSE,0.99,0.01
104,-2.0198273785919,2.49750125795026,-0.102631656729992,"Converged",FALSE,0.99,0.01
105,-1.79545741022998,1.70358316998119,-0.131620928957125,"Converged",FALSE,0.99,0.01
106,-1.66412984549705,1.06240201182053,-0.092970903377185,"Converged",FALSE,0.99,0.01
107,-2.27030645118016,3.24417927928682,-0.156709951431981,"Converged",FALSE,0.99,0.01
108,-1.41756762314826,1.4920971929135,-0.192844028535672,"Converged",FALSE,0.99,0.01
109,-2.65714752799845,2.75178043045391,-0.0223720516608765,"Converged",FALSE,0.99,0.01
110,-1.5832434947977,1.25340309612942,-0.101275601404701,"Converged",FALSE,0.99,0.01
111,-1.80194449439025,1.51145294981285,-0.0957456126621313,"Converged",FALSE,0.99,0.01
112,-2.1264221971871,2.26924507082187,-0.0813047653223128,"Converged",FALSE,0.99,0.01
113,-2.2468676315197,2.25557068900005,-0.0827957161652998,"Converged",FALSE,0.99,0.01
114,-2.25512987076691,3.50768584055932,-0.15430536083189,"Converged",TRUE,0.99,0.01
115,-2.44926369090013,2.52216629221139,-0.0507568522051926,"Converged",TRUE,0.99,0.01
116,-1.72143966295189,0.54179741422318,-0.0813813474553725,"Converged",FALSE,0.99,0.01
117,-2.00727764666651,1.93770342955892,-0.114794256223751,"Converged",FALSE,0.99,0.01
118,-2.44664811033261,3.28734625295619,-0.0850364132729107,"Converged",FALSE,0.99,0.01
119,-1.7341117337496,0.906221093624451,-0.0605922255904703,"Converged",TRUE,0.99,0.01
120,-1.753001242704,2.02985920540357,-0.139551094201834,"Converged",FALSE,0.99,0.01
121,-1.49237997199268,0.213861539422659,-0.118291082234287,"Converged",FALSE,0.99,0.01
122,-1.27804928944873,0.579128089552684,-0.154275119729448,"Converged",FALSE,0.99,0.01
123,-2.49821260799155,4.17319438474948,-0.150861530392177,"Converged",FALSE,0.99,0.01
124,-1.85236495085675,2.34965546996752,-0.151904825741916,"Converged",FALSE,0.99,0.01
125,-1.99132752186321,1.95362953480922,-0.100668339842545,"Converged",TRUE,0.99,0.01
126,-1.62839291591271,1.64729592333477,-0.155542725356139,"Converged",FALSE,0.99,0.01
127,-2.65690960536123,3.36775095810223,-0.0442890310340531,"Converged",FALSE,0.99,0.01
128,-2.30016573864701,2.74961641782672,-0.0888544649504375,"Converged",FALSE,0.99,0.01
129,-2.11511337413947,1.57256320678758,-0.0313499435801724,"Converged",FALSE,0.99,0.01
130,-2.05646340673886,2.06977500293555,-0.100724688820934,"Converged",FALSE,0.99,0.01
131,-1.86293739018505,1.99550235794575,-0.120765368174857,"Converged",FALSE,0.99,0.01
132,-2.27565706763717,2.72916444339477,-0.0813269269735396,"Converged",FALSE,0.99,0.01
133,-2.12519109931958,2.55884228688142,-0.0955987017160794,"Converged",TRUE,0.99,0.01
134,-1.36798682263599,1.12551216268209,-0.142513393876011,"Converged",FALSE,0.99,0.01
135,-2.03175360932587,2.4068879066087,-0.119372199726173,"Converged",FALSE,0.99,0.01
136,-1.5246947019359,0.656984786931714,-0.111191133889593,"Converged",FALSE,0.99,0.01
137,-2.63957320366692,3.03444614258122,-0.026961156856855,"Converged",FALSE,0.99,0.01
138,-2.36467923198752,3.17884334415277,-0.079800006200982,"Converged",FALSE,0.99,0.01
139,-1.82432194245623,0.531000135065498,-0.023507206768858,"Converged",FALSE,0.99,0.01
140,-1.91762632770825,1.7019103040669,-0.106885872341524,"Converged",FALSE,0.99,0.01
141,-1.98956524941105,2.24525577172818,-0.123068160450601,"Converged",FALSE,0.99,0.01
142,-1.56934279209388,1.34722926312478,-0.160399714844882,"Converged",FALSE,0.99,0.01
143,-1.95707062576788,1.76823324841317,-0.103392126436353,"Converged",FALSE,0.99,0.01
144,-1.21686663525146,0.369381289916011,-0.153659181098105,"Converged",FALSE,0.99,0.01
145,-1.70292450442606,1.24673974175033,-0.124128967079801,"Converged",FALSE,0.99,0.01
146,-2.74810855594542,3.21760441553665,-0.0205506950111826,"Converged",FALSE,0.99,0.01
147,-2.57074601092373,2.6074087881897,0.0025383720380002,"Converged",FALSE,0.99,0.01
148,-1.61608097545207,1.34162234007222,-0.119763258763162,"Converged",FALSE,0.99,0.01
149,-2.06948962077067,2.46928518111696,-0.11557803004658,"Converged",FALSE,0.99,0.01
150,-1.82090732682192,0.635391866005125,-0.0509070838124069,"Converged",FALSE,0.99,0.01
151,-2.19283970634261,1.99385236842211,-0.0604494551381801,"Converged",FALSE,0.99,0.01
152,-2.01456384951228,2.67786795710175,-0.112605348605488,"Converged",FALSE,0.99,0.01
153,-1.97814446191558,2.37985799239789,-0.148621025002796,"Converged",FALSE,0.99,0.01
154,-1.5286513060811,0.409301915212185,-0.0781573523850598,"Converged",FALSE,0.99,0.01
155,-1.75915963286837,1.79553994266493,-0.11447201887345,"Converged",FALSE,0.99,0.01
156,-2.06641780505059,2.30800018415415,-0.138622864127305,"Converged",FALSE,0.99,0.01
157,-2.64786798618204,2.03301681974472,0.0130632650631889,"Converged",FALSE,0.99,0.01
158,-1.71390148049345,1.5204494295597,-0.132738349630353,"Converged",FALSE,0.99,0.01
159,-1.81185574151637,0.246052115519774,-0.00329863561014325,"Converged",FALSE,0.99,0.01
160,-2.11728206449186,1.84826523528269,-0.0579103736302884,"Converged",FALSE,0.99,0.01
161,-1.7795355727867,1.023593181054,-0.0644410081184946,"Converged",FALSE,0.99,0.01
162,-2.14809184345189,2.94455452830425,-0.102508055915502,"Converged",FALSE,0.99,0.01
163,-1.82823237441629,2.13039564999883,-0.136737767868909,"Converged",FALSE,0.99,0.01
164,-2.09171221854641,1.98722739888893,-0.0840660275752319,"Converged",FALSE,0.99,0.01
165,-1.87055607709276,1.02313172566353,-0.0693638916530726,"Converged",FALSE,0.99,0.01
166,-2.41394803960772,4.3102703680095,-0.188281734567238,"Converged",FALSE,0.99,0.01
167,-1.94356190437389,1.68265912361991,-0.0696211179538694,"Converged",FALSE,0.99,0.01
168,-1.442367513988,0.87355280659136,-0.121225401794715,"Converged",FALSE,0.99,0.01
169,-2.19247237882935,2.59356868711913,-0.0925086729716435,"Converged",FALSE,0.99,0.01
170,-2.89003431464666,3.93189918029625,-0.0526869927487364,"Converged",FALSE,0.99,0.01
171,-2.02687733334288,1.63934739872079,-0.0639432934277645,"Converged",FALSE,0.99,0.01
172,-2.89877453086941,5.24835360009721,-0.119188821834179,"Converged",FALSE,0.99,0.01
173,-2.73395874896801,4.18443695459573,-0.110306667817251,"Converged",FALSE,0.99,0.01
174,-1.82353518576008,2.25397452396214,-0.152340222076563,"Converged",FALSE,0.99,0.01
175,-2.73199126300844,4.39148044200408,-0.0749494355840317,"Converged",FALSE,0.99,0.01
176,-1.96503034973402,0.586905062630943,-0.00307191230814659,"Converged",FALSE,0.99,0.01
177,-1.60418717961531,0.770726567561918,-0.133881498386188,"Converged",FALSE,0.99,0.01
178,-1.61632275505825,0.913764432707176,-0.11196889251182,"Converged",FALSE,0.99,0.01
179,-1.88191580596797,2.16542859851958,-0.159431296190692,"Converged",FALSE,0.99,0.01
180,-2.09101925546804,2.50142176542969,-0.131793704896467,"Converged",FALSE,0.99,0.01
181,-1.90162371540498,1.37897766805186,-0.0709585263158873,"Converged",FALSE,0.99,0.01
182,-2.60582677771573,3.37005328262582,-0.0822416523900779,"Converged",FALSE,0.99,0.01
183,-1.44252952601604,0.639179497445821,-0.104481294930564,"Converged",FALSE,0.99,0.01
184,-1.81186634603906,1.76395767574425,-0.111770684597107,"Converged",FALSE,0.99,0.01
185,-1.25873914817384,0.763892095641408,-0.177774101809272,"Converged",FALSE,0.99,0.01
186,-2.39402257515387,3.34416994225465,-0.0961642066403358,"Converged",FALSE,0.99,0.01
187,-2.22738885756149,2.58113602242681,-0.0864388386947672,"Converged",FALSE,0.99,0.01
188,-2.10510639643898,2.43306112956265,-0.0965582734688162,"Converged",FALSE,0.99,0.01
189,-1.26576765261868,0.919701112292023,-0.170377314379886,"Converged",FALSE,0.99,0.01
190,-1.62105359853224,0.282607580561159,-0.110284673509528,"Converged",TRUE,0.99,0.01
191,-2.47312741853997,3.80579397237141,-0.102911877769017,"Converged",TRUE,0.99,0.01
192,-1.96597036767262,1.5066554709729,-0.0651277356428571,"Converged",FALSE,0.99,0.01
193,-2.17810595649495,3.73860004175649,-0.184268934325829,"Converged",FALSE,0.99,0.01
194,-2.22424229030036,1.95473320600655,-0.0322439069466607,"Converged",FALSE,0.99,0.01
195,-2.2778071342353,1.86491313615053,-0.039824990557967,"Converged",FALSE,0.99,0.01
196,-1.68262675101914,1.24789767448756,-0.0987646879663934,"Converged",FALSE,0.99,0.01
197,-1.1062172859614,-0.0444647700504708,-0.138283226964037,"Converged",FALSE,0.99,0.01
198,-1.88847871824642,3.07991542837226,-0.157821265998013,"Converged",FALSE,0.99,0.01
199,-1.08512438347762,0.00491344788416107,-0.139264935560197,"Converged",FALSE,0.99,0.01
200,-1.63934107091083,0.382227554411304,-0.0425235927411686,"Converged",FALSE,0.99,0.01
201,-1.54124404738556,0.976963977125539,-0.0796685239586527,"Converged",FALSE,0.99,0.01
202,-2.6325375822582,2.58575498658001,0.00997040195700696,"Converged",FALSE,0.99,0.01
203,-2.52947378062682,3.3482243044607,-0.079204357567135,"Converged",FALSE,0.99,0.01
204,-1.51474836531941,1.82315549517618,-0.13435318550232,"Converged",FALSE,0.99,0.01
205,-1.64455526017618,1.97683555320071,-0.160925489787447,"Converged",FALSE,0.99,0.01
206,-2.44743220040905,3.49798340517109,-0.107642639524425,"Converged",FALSE,0.99,0.01
207,-1.76059477660161,1.71109442123649,-0.135728418003475,"Converged",FALSE,0.99,0.01
208,-2.07129065678844,2.86574889943966,-0.116824507462843,"Converged",FALSE,0.99,0.01
209,-2.38860856297242,2.44027155907793,-0.0687033303724812,"Converged",FALSE,0.99,0.01
210,-1.61923688676373,1.32836928727235,-0.129367315456895,"Converged",FALSE,0.99,0.01
211,-2.40982945624849,3.00038521847975,-0.086928906571131,"Converged",FALSE,0.99,0.01
212,-2.0010965444001,2.44958808527875,-0.0941358207087589,"Converged",FALSE,0.99,0.01
213,-1.7222268783129,0.371495367530237,-0.0564950001841287,"Converged",FALSE,0.99,0.01
214,-1.48966958624337,1.27750965091392,-0.153639382022634,"Converged",FALSE,0.99,0.01
215,-1.54851113253579,1.32391447133733,-0.111635824948317,"Converged",FALSE,0.99,0.01
216,-1.92023711859341,1.24575971436911,-0.0683051739426127,"Converged",TRUE,0.99,0.01
217,-2.07041272287502,1.77036593936236,-0.0776338137081034,"Converged",FALSE,0.99,0.01
218,-1.64453443550669,1.94556183288983,-0.190714478759438,"Converged",FALSE,0.99,0.01
219,-1.99021194041271,1.55007287837291,-0.0571597975996018,"Converged",TRUE,0.99,0.01
220,-1.53746153707526,0.886839811666204,-0.104757696334809,"Converged",FALSE,0.99,0.01
221,-0.737471788685616,-0.32615891723483,-0.239316359578548,"Converged",FALSE,0.99,0.01
222,-2.46813370356741,2.18468240462155,-0.006482273433184,"Converged",FALSE,0.99,0.01
223,-2.23481328056322,2.762010709369,-0.130799509640005,"Converged",FALSE,0.99,0.01
224,-1.8211159247865,0.806764693632558,-0.0788391014263466,"Converged",FALSE,0.99,0.01
225,NA,NA,NA,"MAX_ITER reached",FALSE,0.99,0.01
226,-2.15254707992659,2.51256079068833,-0.112887421340325,"Converged",FALSE,0.99,0.01
227,-2.04864794291589,2.07971544083131,-0.110443781107338,"Converged",FALSE,0.99,0.01
228,-1.97267916118132,2.86358836891594,-0.18335439777259,"Converged",FALSE,0.99,0.01
229,-1.47003804897947,0.766674223529047,-0.107821733565339,"Converged",FALSE,0.99,0.01
230,-1.55206224278896,0.156509021215607,-0.0752369816315753,"Converged",FALSE,0.99,0.01
231,-1.55867615222403,0.831792618121193,-0.0998334424253607,"Converged",FALSE,0.99,0.01
232,-1.57918589047931,2.35952464050877,-0.179508586303717,"Converged",FALSE,0.99,0.01
233,-1.57765786751239,2.27248386974168,-0.200198877517922,"Converged",FALSE,0.99,0.01
234,-1.49049077414105,1.58813766771073,-0.183378394139454,"Converged",FALSE,0.99,0.01
235,-1.73528301384914,1.99305295149263,-0.138317788008675,"Converged",FALSE,0.99,0.01
236,-2.23139590109067,2.77215839586561,-0.0701870185526689,"Converged",FALSE,0.99,0.01
237,-1.92790947828827,0.929595949864299,-0.0341676983841537,"Converged",FALSE,0.99,0.01
238,-1.26507949799714,-0.402096625446978,-0.0819634956897728,"Converged",FALSE,0.99,0.01
239,-1.82732303986924,1.48306846205802,-0.0823250352955961,"Converged",FALSE,0.99,0.01
240,-1.53438698085914,1.59810914598904,-0.161994792895703,"Converged",FALSE,0.99,0.01
241,-1.60254679189437,2.07138299445864,-0.190069500105085,"Converged",FALSE,0.99,0.01
242,-1.66826205968194,1.71018755406434,-0.169884573512552,"Converged",FALSE,0.99,0.01
243,-1.59070455841699,1.01774932667995,-0.112265007670067,"Converged",FALSE,0.99,0.01
244,-2.53709856370084,2.81452017407925,-0.0801485443907955,"Converged",FALSE,0.99,0.01
245,-1.61040103118896,1.38695414852429,-0.117330860998011,"Converged",FALSE,0.99,0.01
246,-2.0220030513634,1.69534927562373,-0.0885771975408181,"Converged",TRUE,0.99,0.01
247,-1.99871282386815,2.32624853578594,-0.103390905633196,"Converged",FALSE,0.99,0.01
248,-1.59138740347661,1.17303771657603,-0.113132086234699,"Converged",FALSE,0.99,0.01
249,-2.49823898802898,3.01663797108627,-0.0683933047184791,"Converged",FALSE,0.99,0.01
250,-1.7890203407947,2.51542571245044,-0.174261817163666,"Converged",FALSE,0.99,0.01
